Month,Day,Hour,Timestamp (Hour Ending),Demand (MWh),UPDATED Demand (MWh),Demand Forecast (MWh),1 MW DC Output,1 MW AC Output,DC Array Output (W),AC System Output (W)
1,1,0,1/1/2020 12 a.m. MST,89,89,94,0,0,0,0
1,1,1,1/1/2020 1 a.m. MST,108,108,91,0,0,0,0
1,1,2,1/1/2020 2 a.m. MST,86,86,91,0,0,0,0
1,1,3,1/1/2020 3 a.m. MST,83,83,91,0,0,0,0
1,1,4,1/1/2020 4 a.m. MST,82,82,92,0,0,0,0
1,1,5,1/1/2020 5 a.m. MST,86,86,96,0,0,0,0
1,1,6,1/1/2020 6 a.m. MST,84,84,104,0,0,0,0
1,1,7,1/1/2020 7 a.m. MST,90,90,110,0,0,0,0
1,1,8,1/1/2020 8 a.m. MST,88,88,111,0.005507798,0.000306313,5507.798,306.313
1,1,9,1/1/2020 9 a.m. MST,90,90,110,0.022018043,0.016511176,22018.043,16511.176
1,1,10,1/1/2020 10 a.m. MST,90,90,108,0.205900391,0.196307281,205900.391,196307.281
1,1,11,1/1/2020 11 a.m. MST,95,95,106,0.249006438,0.238273531,249006.438,238273.531
1,1,12,1/1/2020 12 p.m. MST,94,94,104,0.214412359,0.204599656,214412.359,204599.656
1,1,13,1/1/2020 1 p.m. MST,94,94,102,0.106610609,0.09938007,106610.609,99380.07
1,1,14,1/1/2020 2 p.m. MST,96,96,102,0.067465555,0.061065715,67465.555,61065.715
1,1,15,1/1/2020 3 p.m. MST,93,93,102,0.192666234,0.183409203,192666.234,183409.203
1,1,16,1/1/2020 4 p.m. MST,95,95,104,0,0,0,0
1,1,17,1/1/2020 5 p.m. MST,100,100,109,0,0,0,0
1,1,18,1/1/2020 6 p.m. MST,102,102,111,0,0,0,0
1,1,19,1/1/2020 7 p.m. MST,106,106,110,0,0,0,0
1,1,20,1/1/2020 8 p.m. MST,101,101,107,0,0,0,0
1,1,21,1/1/2020 9 p.m. MST,100,100,105,0,0,0,0
1,1,22,1/1/2020 10 p.m. MST,96,96,100,0,0,0,0
1,1,23,1/1/2020 11 p.m. MST,90,90,96,0,0,0,0
1,2,0,1/2/2020 12 a.m. MST,87,87,93,0,0,0,0
1,2,1,1/2/2020 1 a.m. MST,84,84,92,0,0,0,0
1,2,2,1/2/2020 2 a.m. MST,84,84,92,0,0,0,0
1,2,3,1/2/2020 3 a.m. MST,83,83,92,0,0,0,0
1,2,4,1/2/2020 4 a.m. MST,86,86,93,0,0,0,0
1,2,5,1/2/2020 5 a.m. MST,87,87,97,0,0,0,0
1,2,6,1/2/2020 6 a.m. MST,90,90,105,0,0,0,0
1,2,7,1/2/2020 7 a.m. MST,94,94,111,0,0,0,0
1,2,8,1/2/2020 8 a.m. MST,103,103,112,0.015573807,0.010187341,15573.807,10187.341
1,2,9,1/2/2020 9 a.m. MST,103,103,111,0.056755254,0.050572773,56755.254,50572.773
1,2,10,1/2/2020 10 a.m. MST,102,102,109,0.134967016,0.127099133,134967.016,127099.133
1,2,11,1/2/2020 11 a.m. MST,102,102,107,0.098008664,0.090965555,98008.664,90965.555
1,2,12,1/2/2020 12 p.m. MST,104,104,105,0.06524293,0.058888547,65242.93,58888.547
1,2,13,1/2/2020 1 p.m. MST,100,100,104,0.090634453,0.083749828,90634.453,83749.828
1,2,14,1/2/2020 2 p.m. MST,104,104,103,0.065224223,0.058870223,65224.223,58870.223
1,2,15,1/2/2020 3 p.m. MST,101,101,103,0.028561172,0.022930473,28561.172,22930.473
1,2,16,1/2/2020 4 p.m. MST,102,102,105,0,0,0,0
1,2,17,1/2/2020 5 p.m. MST,111,111,111,0,0,0,0
1,2,18,1/2/2020 6 p.m. MST,114,114,112,0,0,0,0
1,2,19,1/2/2020 7 p.m. MST,112,112,111,0,0,0,0
1,2,20,1/2/2020 8 p.m. MST,110,110,109,0,0,0,0
1,2,21,1/2/2020 9 p.m. MST,108,108,106,0,0,0,0
1,2,22,1/2/2020 10 p.m. MST,102,102,101,0,0,0,0
1,2,23,1/2/2020 11 p.m. MST,97,97,96,0,0,0,0
1,3,0,1/3/2020 12 a.m. MST,93,93,93,0,0,0,0
1,3,1,1/3/2020 1 a.m. MST,89,89,89,0,0,0,0
1,3,2,1/3/2020 2 a.m. MST,90,90,89,0,0,0,0
1,3,3,1/3/2020 3 a.m. MST,91,91,88,0,0,0,0
1,3,4,1/3/2020 4 a.m. MST,92,92,89,0,0,0,0
1,3,5,1/3/2020 5 a.m. MST,88,88,90,0,0,0,0
1,3,6,1/3/2020 6 a.m. MST,96,96,93,0,0,0,0
1,3,7,1/3/2020 7 a.m. MST,97,97,101,0,0,0,0
1,3,8,1/3/2020 8 a.m. MST,106,106,107,0.001835461,0,1835.461,0
1,3,9,1/3/2020 9 a.m. MST,107,107,107,0.006412324,0.00119437,6412.324,1194.37
1,3,10,1/3/2020 10 a.m. MST,108,108,106,0.244097375,0.23349775,244097.375,233497.75
1,3,11,1/3/2020 11 a.m. MST,107,107,105,0.064505559,0.058166215,64505.559,58166.215
1,3,12,1/3/2020 12 p.m. MST,104,104,103,0.334648719,0.32144625,334648.719,321446.25
1,3,13,1/3/2020 1 p.m. MST,97,97,101,0.136306641,0.128407914,136306.641,128407.914
1,3,14,1/3/2020 2 p.m. MST,100,100,99,0.375323875,0.360853031,375323.875,360853.031
1,3,15,1/3/2020 3 p.m. MST,99,99,99,0.202142344,0.192645344,202142.344,192645.344
1,3,16,1/3/2020 4 p.m. MST,101,101,99,0,0,0,0
1,3,17,1/3/2020 5 p.m. MST,100,100,101,0,0,0,0
1,3,18,1/3/2020 6 p.m. MST,106,106,106,0,0,0,0
1,3,19,1/3/2020 7 p.m. MST,101,101,107,0,0,0,0
1,3,20,1/3/2020 8 p.m. MST,97,97,106,0,0,0,0
1,3,21,1/3/2020 9 p.m. MST,98,98,104,0,0,0,0
1,3,22,1/3/2020 10 p.m. MST,96,96,101,0,0,0,0
1,3,23,1/3/2020 11 p.m. MST,91,91,97,0,0,0,0
1,4,0,1/4/2020 12 a.m. MST,84,84,90,0,0,0,0
1,4,1,1/4/2020 1 a.m. MST,87,87,87,0,0,0,0
1,4,2,1/4/2020 2 a.m. MST,82,82,86,0,0,0,0
1,4,3,1/4/2020 3 a.m. MST,82,82,86,0,0,0,0
1,4,4,1/4/2020 4 a.m. MST,82,82,85,0,0,0,0
1,4,5,1/4/2020 5 a.m. MST,82,82,86,0,0,0,0
1,4,6,1/4/2020 6 a.m. MST,83,83,88,0,0,0,0
1,4,7,1/4/2020 7 a.m. MST,87,87,91,0,0,0,0
1,4,8,1/4/2020 8 a.m. MST,91,91,95,0.116738508,0.109283766,116738.508,109283.766
1,4,9,1/4/2020 9 a.m. MST,96,96,97,0.310122656,0.297655281,310122.656,297655.281
1,4,10,1/4/2020 10 a.m. MST,94,94,98,0.452379969,0.435337563,452379.969,435337.563
1,4,11,1/4/2020 11 a.m. MST,97,97,98,0.253684891,0.242824109,253684.891,242824.109
1,4,12,1/4/2020 12 p.m. MST,94,94,97,0.110367273,0.103054016,110367.273,103054.016
1,4,13,1/4/2020 1 p.m. MST,95,95,96,0.092233695,0.085314867,92233.695,85314.867
1,4,14,1/4/2020 2 p.m. MST,94,94,94,0.035163281,0.029406023,35163.281,29406.023
1,4,15,1/4/2020 3 p.m. MST,93,93,93,0.098678148,0.091620547,98678.148,91620.547
1,4,16,1/4/2020 4 p.m. MST,97,97,94,0,0,0,0
1,4,17,1/4/2020 5 p.m. MST,94,94,96,0,0,0,0
1,4,18,1/4/2020 6 p.m. MST,107,107,102,0,0,0,0
1,4,19,1/4/2020 7 p.m. MST,102,102,104,0,0,0,0
1,4,20,1/4/2020 8 p.m. MST,93,93,102,0,0,0,0
1,4,21,1/4/2020 9 p.m. MST,92,92,101,0,0,0,0
1,4,22,1/4/2020 10 p.m. MST,96,96,98,0,0,0,0
1,4,23,1/4/2020 11 p.m. MST,96,96,95,0,0,0,0
1,5,0,1/5/2020 12 a.m. MST,92,92,91,0,0,0,0
1,5,1,1/5/2020 1 a.m. MST,87,87,88,0,0,0,0
1,5,2,1/5/2020 2 a.m. MST,87,87,87,0,0,0,0
1,5,3,1/5/2020 3 a.m. MST,90,90,87,0,0,0,0
1,5,4,1/5/2020 4 a.m. MST,89,89,86,0,0,0,0
1,5,5,1/5/2020 5 a.m. MST,86,86,87,0,0,0,0
1,5,6,1/5/2020 6 a.m. MST,81,81,89,0,0,0,0
1,5,7,1/5/2020 7 a.m. MST,79,79,92,0,0,0,0
1,5,8,1/5/2020 8 a.m. MST,84,84,96,0.121660969,0.114095883,121660.969,114095.883
1,5,9,1/5/2020 9 a.m. MST,85,85,98,0.3130415,0.300487813,313041.5,300487.813
1,5,10,1/5/2020 10 a.m. MST,90,90,99,0.452473094,0.435427469,452473.094,435427.469
1,5,11,1/5/2020 11 a.m. MST,90,90,99,0.515933406,0.496603938,515933.406,496603.938
1,5,12,1/5/2020 12 p.m. MST,87,87,98,0.538200688,0.518034375,538200.688,518034.375
1,5,13,1/5/2020 1 p.m. MST,92,92,97,0.270870688,0.259533234,270870.688,259533.234
1,5,14,1/5/2020 2 p.m. MST,93,93,95,0.318229438,0.305521563,318229.438,305521.563
1,5,15,1/5/2020 3 p.m. MST,93,93,94,0.200140422,0.190694391,200140.422,190694.391
1,5,16,1/5/2020 4 p.m. MST,93,93,95,0,0,0,0
1,5,17,1/5/2020 5 p.m. MST,101,101,97,0,0,0,0
1,5,18,1/5/2020 6 p.m. MST,105,105,103,0,0,0,0
1,5,19,1/5/2020 7 p.m. MST,101,101,105,0,0,0,0
1,5,20,1/5/2020 8 p.m. MST,102,102,104,0,0,0,0
1,5,21,1/5/2020 9 p.m. MST,104,104,103,0,0,0,0
1,5,22,1/5/2020 10 p.m. MST,93,93,99,0,0,0,0
1,5,23,1/5/2020 11 p.m. MST,92,92,96,0,0,0,0
1,6,0,1/6/2020 12 a.m. MST,89,89,93,0,0,0,0
1,6,1,1/6/2020 1 a.m. MST,83,83,90,0,0,0,0
1,6,2,1/6/2020 2 a.m. MST,85,85,90,0,0,0,0
1,6,3,1/6/2020 3 a.m. MST,85,85,89,0,0,0,0
1,6,4,1/6/2020 4 a.m. MST,87,87,90,0,0,0,0
1,6,5,1/6/2020 5 a.m. MST,86,86,91,0,0,0,0
1,6,6,1/6/2020 6 a.m. MST,89,89,94,0,0,0,0
1,6,7,1/6/2020 7 a.m. MST,99,99,102,0,0,0,0
1,6,8,1/6/2020 8 a.m. MST,101,101,108,0.109199828,0.101912336,109199.828,101912.336
1,6,9,1/6/2020 9 a.m. MST,100,100,108,0.293120625,0.281149719,293120.625,281149.719
1,6,10,1/6/2020 10 a.m. MST,102,102,107,0.421036063,0.405066313,421036.063,405066.313
1,6,11,1/6/2020 11 a.m. MST,98,98,106,0.492255594,0.47379575,492255.594,473795.75
1,6,12,1/6/2020 12 p.m. MST,105,105,104,0.49875325,0.480056844,498753.25,480056.844
1,6,13,1/6/2020 1 p.m. MST,100,100,102,0.452439875,0.435395406,452439.875,435395.406
1,6,14,1/6/2020 2 p.m. MST,97,97,100,0.350968,0.337264031,350968,337264.031
1,6,15,1/6/2020 3 p.m. MST,102,102,100,0.192248656,0.183002125,192248.656,183002.125
1,6,16,1/6/2020 4 p.m. MST,102,102,100,0,0,0,0
1,6,17,1/6/2020 5 p.m. MST,106,106,102,0,0,0,0
1,6,18,1/6/2020 6 p.m. MST,106,106,107,0,0,0,0
1,6,19,1/6/2020 7 p.m. MST,106,106,108,0,0,0,0
1,6,20,1/6/2020 8 p.m. MST,101,101,107,0,0,0,0
1,6,21,1/6/2020 9 p.m. MST,101,101,105,0,0,0,0
1,6,22,1/6/2020 10 p.m. MST,100,100,102,0,0,0,0
1,6,23,1/6/2020 11 p.m. MST,90,90,98,0,0,0,0
1,7,0,1/7/2020 12 a.m. MST,88,88,91,0,0,0,0
1,7,1,1/7/2020 1 a.m. MST,87,87,90,0,0,0,0
1,7,2,1/7/2020 2 a.m. MST,84,84,90,0,0,0,0
1,7,3,1/7/2020 3 a.m. MST,89,89,89,0,0,0,0
1,7,4,1/7/2020 4 a.m. MST,86,86,90,0,0,0,0
1,7,5,1/7/2020 5 a.m. MST,91,91,91,0,0,0,0
1,7,6,1/7/2020 6 a.m. MST,89,89,94,0,0,0,0
1,7,7,1/7/2020 7 a.m. MST,99,99,102,0,0,0,0
1,7,8,1/7/2020 8 a.m. MST,104,104,108,0.04710759,0.04111725,47107.59,41117.25
1,7,9,1/7/2020 9 a.m. MST,108,108,108,0.144080016,0.136000969,144080.016,136000.969
1,7,10,1/7/2020 10 a.m. MST,106,106,107,0.335153094,0.321935281,335153.094,321935.281
1,7,11,1/7/2020 11 a.m. MST,102,102,106,0.259781813,0.248753188,259781.813,248753.188
1,7,12,1/7/2020 12 p.m. MST,107,107,104,0.127195102,0.119504883,127195.102,119504.883
1,7,13,1/7/2020 1 p.m. MST,104,104,102,0.120974977,0.11342532,120974.977,113425.32
1,7,14,1/7/2020 2 p.m. MST,106,106,100,0.057267785,0.051074996,57267.785,51074.996
1,7,15,1/7/2020 3 p.m. MST,108,108,100,0.038157199,0.032342016,38157.199,32342.016
1,7,16,1/7/2020 4 p.m. MST,90,90,100,0,0,0,0
1,7,17,1/7/2020 5 p.m. MST,109,109,102,0,0,0,0
1,7,18,1/7/2020 6 p.m. MST,114,114,107,0,0,0,0
1,7,19,1/7/2020 7 p.m. MST,114,114,108,0,0,0,0
1,7,20,1/7/2020 8 p.m. MST,106,106,107,0,0,0,0
1,7,21,1/7/2020 9 p.m. MST,109,109,105,0,0,0,0
1,7,22,1/7/2020 10 p.m. MST,102,102,102,0,0,0,0
1,7,23,1/7/2020 11 p.m. MST,97,97,98,0,0,0,0
1,8,0,1/8/2020 12 a.m. MST,96,96,90,0,0,0,0
1,8,1,1/8/2020 1 a.m. MST,91,91,88,0,0,0,0
1,8,2,1/8/2020 2 a.m. MST,89,89,87,0,0,0,0
1,8,3,1/8/2020 3 a.m. MST,88,88,86,0,0,0,0
1,8,4,1/8/2020 4 a.m. MST,88,88,87,0,0,0,0
1,8,5,1/8/2020 5 a.m. MST,90,90,88,0,0,0,0
1,8,6,1/8/2020 6 a.m. MST,94,94,91,0,0,0,0
1,8,7,1/8/2020 7 a.m. MST,102,102,98,0,0,0,0
1,8,8,1/8/2020 8 a.m. MST,108,108,105,0.000923139,0,923.139,0
1,8,9,1/8/2020 9 a.m. MST,104,104,105,0.004599903,0,4599.903,0
1,8,10,1/8/2020 10 a.m. MST,107,107,104,0.012826895,0.007491282,12826.895,7491.282
1,8,11,1/8/2020 11 a.m. MST,93,93,103,0.040248164,0.034392328,40248.164,34392.328
1,8,12,1/8/2020 12 p.m. MST,93,93,101,0.138362406,0.130416219,138362.406,130416.219
1,8,13,1/8/2020 1 p.m. MST,89,89,99,0.141155859,0.133144906,141155.859,133144.906
1,8,14,1/8/2020 2 p.m. MST,103,103,97,0.048425582,0.042409195,48425.582,42409.195
1,8,15,1/8/2020 3 p.m. MST,97,97,97,0.037161207,0.03136533,37161.207,31365.33
1,8,16,1/8/2020 4 p.m. MST,98,98,97,0,0,0,0
1,8,17,1/8/2020 5 p.m. MST,104,104,99,0,0,0,0
1,8,18,1/8/2020 6 p.m. MST,109,109,104,0,0,0,0
1,8,19,1/8/2020 7 p.m. MST,113,113,105,0,0,0,0
1,8,20,1/8/2020 8 p.m. MST,111,111,104,0,0,0,0
1,8,21,1/8/2020 9 p.m. MST,111,111,102,0,0,0,0
1,8,22,1/8/2020 10 p.m. MST,105,105,99,0,0,0,0
1,8,23,1/8/2020 11 p.m. MST,104,104,94,0,0,0,0
1,9,0,1/9/2020 12 a.m. MST,98,98,95,0,0,0,0
1,9,1,1/9/2020 1 a.m. MST,97,97,92,0,0,0,0
1,9,2,1/9/2020 2 a.m. MST,96,96,92,0,0,0,0
1,9,3,1/9/2020 3 a.m. MST,92,92,91,0,0,0,0
1,9,4,1/9/2020 4 a.m. MST,97,97,92,0,0,0,0
1,9,5,1/9/2020 5 a.m. MST,100,100,93,0,0,0,0
1,9,6,1/9/2020 6 a.m. MST,97,97,96,0,0,0,0
1,9,7,1/9/2020 7 a.m. MST,110,110,104,0,0,0,0
1,9,8,1/9/2020 8 a.m. MST,120,120,110,0.129679461,0.121932695,129679.461,121932.695
1,9,9,1/9/2020 9 a.m. MST,121,121,111,0.049666539,0.043625574,49666.539,43625.574
1,9,10,1/9/2020 10 a.m. MST,117,117,110,0.198785109,0.1893735,198785.109,189373.5
1,9,11,1/9/2020 11 a.m. MST,117,117,108,0.369038219,0.354767375,369038.219,354767.375
1,9,12,1/9/2020 12 p.m. MST,120,120,106,0.441343,0.424682469,441343,424682.469
1,9,13,1/9/2020 1 p.m. MST,115,115,104,0.297056594,0.284971719,297056.594,284971.719
1,9,14,1/9/2020 2 p.m. MST,118,118,102,0.056785879,0.050602781,56785.879,50602.781
1,9,15,1/9/2020 3 p.m. MST,117,117,102,0.040032699,0.034181059,40032.699,34181.059
1,9,16,1/9/2020 4 p.m. MST,115,115,102,0,0,0,0
1,9,17,1/9/2020 5 p.m. MST,115,115,104,0,0,0,0
1,9,18,1/9/2020 6 p.m. MST,120,120,109,0,0,0,0
1,9,19,1/9/2020 7 p.m. MST,126,126,111,0,0,0,0
1,9,20,1/9/2020 8 p.m. MST,125,125,110,0,0,0,0
1,9,21,1/9/2020 9 p.m. MST,124,124,107,0,0,0,0
1,9,22,1/9/2020 10 p.m. MST,116,116,105,0,0,0,0
1,9,23,1/9/2020 11 p.m. MST,107,107,100,0,0,0,0
1,10,0,1/10/2020 12 a.m. MST,107,107,94,0,0,0,0
1,10,1,1/10/2020 1 a.m. MST,106,106,92,0,0,0,0
1,10,2,1/10/2020 2 a.m. MST,109,109,92,0,0,0,0
1,10,3,1/10/2020 3 a.m. MST,108,108,91,0,0,0,0
1,10,4,1/10/2020 4 a.m. MST,111,111,92,0,0,0,0
1,10,5,1/10/2020 5 a.m. MST,111,111,93,0,0,0,0
1,10,6,1/10/2020 6 a.m. MST,113,113,96,0,0,0,0
1,10,7,1/10/2020 7 a.m. MST,123,123,104,0,0,0,0
1,10,8,1/10/2020 8 a.m. MST,127,127,110,0.013655898,0.008304969,13655.898,8304.969
1,10,9,1/10/2020 9 a.m. MST,124,124,111,0.067243,0.060847719,67243,60847.719
1,10,10,1/10/2020 10 a.m. MST,127,127,110,0.08732557,0.080511398,87325.57,80511.398
1,10,11,1/10/2020 11 a.m. MST,124,124,108,0.238384344,0.227938703,238384.344,227938.703
1,10,12,1/10/2020 12 p.m. MST,121,121,106,0.145611094,0.137496266,145611.094,137496.266
1,10,13,1/10/2020 1 p.m. MST,115,115,104,0.161815094,0.153316234,161815.094,153316.234
1,10,14,1/10/2020 2 p.m. MST,107,107,102,0.097673117,0.090637266,97673.117,90637.266
1,10,15,1/10/2020 3 p.m. MST,99,99,102,0.153160484,0.144867938,153160.484,144867.938
1,10,16,1/10/2020 4 p.m. MST,108,108,102,0,0,0,0
1,10,17,1/10/2020 5 p.m. MST,113,113,104,0,0,0,0
1,10,18,1/10/2020 6 p.m. MST,119,119,109,0,0,0,0
1,10,19,1/10/2020 7 p.m. MST,113,113,111,0,0,0,0
1,10,20,1/10/2020 8 p.m. MST,114,114,110,0,0,0,0
1,10,21,1/10/2020 9 p.m. MST,113,113,107,0,0,0,0
1,10,22,1/10/2020 10 p.m. MST,106,106,105,0,0,0,0
1,10,23,1/10/2020 11 p.m. MST,109,109,100,0,0,0,0
1,11,0,1/11/2020 12 a.m. MST,104,104,94,0,0,0,0
1,11,1,1/11/2020 1 a.m. MST,100,100,95,0,0,0,0
1,11,2,1/11/2020 2 a.m. MST,98,98,94,0,0,0,0
1,11,3,1/11/2020 3 a.m. MST,95,95,93,0,0,0,0
1,11,4,1/11/2020 4 a.m. MST,97,97,93,0,0,0,0
1,11,5,1/11/2020 5 a.m. MST,98,98,94,0,0,0,0
1,11,6,1/11/2020 6 a.m. MST,95,95,96,0,0,0,0
1,11,7,1/11/2020 7 a.m. MST,102,102,99,0,0,0,0
1,11,8,1/11/2020 8 a.m. MST,102,102,103,0.011731552,0.006416139,11731.552,6416.139
1,11,9,1/11/2020 9 a.m. MST,108,108,105,0.148175141,0.140000188,148175.141,140000.188
1,11,10,1/11/2020 10 a.m. MST,104,104,107,0.062161758,0.05587009,62161.758,55870.09
1,11,11,1/11/2020 11 a.m. MST,109,109,106,0.425973563,0.409837281,425973.563,409837.281
1,11,12,1/11/2020 12 p.m. MST,105,105,105,0.12516032,0.117516242,125160.32,117516.242
1,11,13,1/11/2020 1 p.m. MST,100,100,104,0.358017719,0.344094063,358017.719,344094.063
1,11,14,1/11/2020 2 p.m. MST,103,103,102,0.174668516,0.165858078,174668.516,165858.078
1,11,15,1/11/2020 3 p.m. MST,98,98,101,0.149191719,0.140992875,149191.719,140992.875
1,11,16,1/11/2020 4 p.m. MST,98,98,102,0,0,0,0
1,11,17,1/11/2020 5 p.m. MST,104,104,105,0,0,0,0
1,11,18,1/11/2020 6 p.m. MST,108,108,111,0,0,0,0
1,11,19,1/11/2020 7 p.m. MST,106,106,113,0,0,0,0
1,11,20,1/11/2020 8 p.m. MST,106,106,111,0,0,0,0
1,11,21,1/11/2020 9 p.m. MST,104,104,110,0,0,0,0
1,11,22,1/11/2020 10 p.m. MST,102,102,107,0,0,0,0
1,11,23,1/11/2020 11 p.m. MST,103,103,103,0,0,0,0
1,12,0,1/12/2020 12 a.m. MST,98,98,101,0,0,0,0
1,12,1,1/12/2020 1 a.m. MST,95,95,98,0,0,0,0
1,12,2,1/12/2020 2 a.m. MST,95,95,96,0,0,0,0
1,12,3,1/12/2020 3 a.m. MST,96,96,96,0,0,0,0
1,12,4,1/12/2020 4 a.m. MST,96,96,96,0,0,0,0
1,12,5,1/12/2020 5 a.m. MST,87,87,97,0,0,0,0
1,12,6,1/12/2020 6 a.m. MST,86,86,98,0,0,0,0
1,12,7,1/12/2020 7 a.m. MST,94,94,102,0,0,0,0
1,12,8,1/12/2020 8 a.m. MST,105,105,106,0.123946586,0.116329953,123946.586,116329.953
1,12,9,1/12/2020 9 a.m. MST,111,111,108,0.318599375,0.3058805,318599.375,305880.5
1,12,10,1/12/2020 10 a.m. MST,110,110,110,0.467001719,0.449446438,467001.719,449446.438
1,12,11,1/12/2020 11 a.m. MST,113,113,110,0.544462688,0.524057688,544462.688,524057.688
1,12,12,1/12/2020 12 p.m. MST,113,113,109,0.5581995,0.537265875,558199.5,537265.875
1,12,13,1/12/2020 1 p.m. MST,114,114,107,0.508971469,0.489899875,508971.469,489899.875
1,12,14,1/12/2020 2 p.m. MST,114,114,105,0.394123281,0.379045406,394123.281,379045.406
1,12,15,1/12/2020 3 p.m. MST,114,114,104,0.227593875,0.217435781,227593.875,217435.781
1,12,16,1/12/2020 4 p.m. MST,118,118,105,0,0,0,0
1,12,17,1/12/2020 5 p.m. MST,119,119,108,0,0,0,0
1,12,18,1/12/2020 6 p.m. MST,127,127,114,0,0,0,0
1,12,19,1/12/2020 7 p.m. MST,124,124,116,0,0,0,0
1,12,20,1/12/2020 8 p.m. MST,125,125,115,0,0,0,0
1,12,21,1/12/2020 9 p.m. MST,123,123,114,0,0,0,0
1,12,22,1/12/2020 10 p.m. MST,119,119,110,0,0,0,0
1,12,23,1/12/2020 11 p.m. MST,113,113,106,0,0,0,0
1,13,0,1/13/2020 12 a.m. MST,111,111,108,0,0,0,0
1,13,1,1/13/2020 1 a.m. MST,110,110,105,0,0,0,0
1,13,2,1/13/2020 2 a.m. MST,112,112,104,0,0,0,0
1,13,3,1/13/2020 3 a.m. MST,109,109,103,0,0,0,0
1,13,4,1/13/2020 4 a.m. MST,113,113,104,0,0,0,0
1,13,5,1/13/2020 5 a.m. MST,111,111,105,0,0,0,0
1,13,6,1/13/2020 6 a.m. MST,118,118,109,0,0,0,0
1,13,7,1/13/2020 7 a.m. MST,123,123,118,0,0,0,0
1,13,8,1/13/2020 8 a.m. MST,129,129,125,0.010110349,0.004824751,10110.349,4824.751
1,13,9,1/13/2020 9 a.m. MST,131,131,126,0.048438102,0.042421465,48438.102,42421.465
1,13,10,1/13/2020 10 a.m. MST,133,133,124,0.149656172,0.141446391,149656.172,141446.391
1,13,11,1/13/2020 11 a.m. MST,131,131,123,0.228576156,0.218392078,228576.156,218392.078
1,13,12,1/13/2020 12 p.m. MST,131,131,120,0.144854594,0.136757453,144854.594,136757.453
1,13,13,1/13/2020 1 p.m. MST,130,130,118,0.09172857,0.084820563,91728.57,84820.563
1,13,14,1/13/2020 2 p.m. MST,125,125,116,0.121314063,0.113756781,121314.063,113756.781
1,13,15,1/13/2020 3 p.m. MST,129,129,115,0.116949492,0.109490039,116949.492,109490.039
1,13,16,1/13/2020 4 p.m. MST,125,125,116,0,0,0,0
1,13,17,1/13/2020 5 p.m. MST,131,131,118,0,0,0,0
1,13,18,1/13/2020 6 p.m. MST,136,136,124,0,0,0,0
1,13,19,1/13/2020 7 p.m. MST,137,137,125,0,0,0,0
1,13,20,1/13/2020 8 p.m. MST,138,138,124,0,0,0,0
1,13,21,1/13/2020 9 p.m. MST,132,132,122,0,0,0,0
1,13,22,1/13/2020 10 p.m. MST,129,129,119,0,0,0,0
1,13,23,1/13/2020 11 p.m. MST,123,123,113,0,0,0,0
1,14,0,1/14/2020 12 a.m. MST,121,121,113,0,0,0,0
1,14,1,1/14/2020 1 a.m. MST,117,117,109,0,0,0,0
1,14,2,1/14/2020 2 a.m. MST,112,112,109,0,0,0,0
1,14,3,1/14/2020 3 a.m. MST,119,119,108,0,0,0,0
1,14,4,1/14/2020 4 a.m. MST,117,117,109,0,0,0,0
1,14,5,1/14/2020 5 a.m. MST,118,118,110,0,0,0,0
1,14,6,1/14/2020 6 a.m. MST,121,121,114,0,0,0,0
1,14,7,1/14/2020 7 a.m. MST,126,126,123,0,0,0,0
1,14,8,1/14/2020 8 a.m. MST,135,135,131,0.123396164,0.115791969,123396.164,115791.969
1,14,9,1/14/2020 9 a.m. MST,134,134,131,0.296620938,0.284548688,296620.938,284548.688
1,14,10,1/14/2020 10 a.m. MST,132,132,130,0.428986781,0.412748406,428986.781,412748.406
1,14,11,1/14/2020 11 a.m. MST,138,138,128,0.502576906,0.483740563,502576.906,483740.563
1,14,12,1/14/2020 12 p.m. MST,130,130,126,0.513730344,0.494482656,513730.344,494482.656
1,14,13,1/14/2020 1 p.m. MST,130,130,123,0.326314594,0.313364438,326314.594,313364.438
1,14,14,1/14/2020 2 p.m. MST,130,130,121,0.078396289,0.071770219,78396.289,71770.219
1,14,15,1/14/2020 3 p.m. MST,126,126,121,0.016116476,0.010719931,16116.476,10719.931
1,14,16,1/14/2020 4 p.m. MST,130,130,121,0.000903466,0,903.466,0
1,14,17,1/14/2020 5 p.m. MST,134,134,124,0,0,0,0
1,14,18,1/14/2020 6 p.m. MST,133,133,130,0,0,0,0
1,14,19,1/14/2020 7 p.m. MST,140,140,131,0,0,0,0
1,14,20,1/14/2020 8 p.m. MST,135,135,130,0,0,0,0
1,14,21,1/14/2020 9 p.m. MST,137,137,127,0,0,0,0
1,14,22,1/14/2020 10 p.m. MST,128,128,124,0,0,0,0
1,14,23,1/14/2020 11 p.m. MST,122,122,118,0,0,0,0
1,15,0,1/15/2020 12 a.m. MST,124,124,113,0,0,0,0
1,15,1,1/15/2020 1 a.m. MST,122,122,110,0,0,0,0
1,15,2,1/15/2020 2 a.m. MST,122,122,109,0,0,0,0
1,15,3,1/15/2020 3 a.m. MST,122,122,109,0,0,0,0
1,15,4,1/15/2020 4 a.m. MST,121,121,109,0,0,0,0
1,15,5,1/15/2020 5 a.m. MST,123,123,111,0,0,0,0
1,15,6,1/15/2020 6 a.m. MST,127,127,115,0,0,0,0
